Annotator,ID,student_text,teacher_text,uptake_majority
groundtruth,1,How many snowballs are there in all?,"Excellent. So you have 10 piles. So the piles are the groups, right?",high
groundtruth,2,"Yeah, the 40 on top.","I like to call it a 40, right? So the 8 stayed in the ones column and the 40 went over to the_",mid
groundtruth,3,What do you mean by explain your reasoning? Don___ you mean explain why?,"All right, explain why you came up with the answer you did, yes. But reasoning also means the why, okay? That___ another term you could use for that. Now, could you take out your math student activity books and open them to page 21 and 22.",high
groundtruth,4,"Four fifths _ no, 80 percent.",How come you can___ put it there?,mid
groundtruth,5,"We wrote it down underneath, how long Carrie is from the park and then we subtract them.","Okay. Does this give you times two or would it be half of that- -Susan Jones_ house, 87/100 times two.",high
groundtruth,6,_ it says like it___ a segment that goes through the center to another edge?,Mm-hmm.,mid
groundtruth,7,I didn___ get that.,Now this is _ I___ saying this assuming that was your answer. That___ just an example.,low
groundtruth,8,"These prices are, like, $10.00.","Oh, so it___ gonna be really challenging. But who does _ how many people does it feed?",high
groundtruth,9,Three-thousand-five-hundred-twenty-six yards.,"Okay. Good job. Nineteen, four yards or 13 feet. Student?",mid
groundtruth,10,"Well, I don___ know how to explain it.",Go ahead and try.,low
groundtruth,11,"Only in multiplication you need to see how many places there are before it, but in addition you don___ have to do that.",Only in multiplication do you need to count your places behind your decimal. In addition you just have to make sure your decimals are _,mid
groundtruth,12,You would have had like 2 wholes. It should be 56 hundredths.,"Okay, I___ sorry, I did it wrong. All right, you are right. So let___ do this one again, I___ sorry. It was 28 hundredths, I___ sorry about that, and we___e multiplying it by 2 wholes. So we still get 56, but now, well done, Student J, the decimal has to be moved over two places, one, two, and now it reads 56 hundredths. Can you show me what 56 hundredths looks like? Remember, Student T, we have to change it from five and six- tenths because I put the decimal in the wrong place, to 56 hundredths. Student T, same thing. We made an error here because I wrote the decimal wrong. Which is a good point, because it just goes to show you that depending on how many places you have behind a decimal will change your answer. Because five and six-tenths and 56 hundredths are going to give you two totally different answers. But this is the answer that we___e looking for, right here. Okay, so you can either have it like this, where you have five what?",high
groundtruth,13,Because it___ 85 hundredths.,"It does say 85 hundredths, but what if someone didn___ know how to read that? How do we know that we___e dealing with the hundredths?",high
groundtruth,14,Because there___ nothing on the dividend.,"Divisor. There___ not a decimal in the divisor, so I don___ have to move it over anywhere, okay. So 2 goes into 2 how many times?",mid
groundtruth,15,He as gonna spell the full name.,"It___ not exactly see how it___ like in the middle your ordered pair has to be exactly on the corner, cause look at when I go up. 10, 5 it needs to be exactly right at that spot it can___ be at the middle okay. So let___ erase that. Try it again. Put those away Student R I don___ know why I___ having so much trouble with you today following along. You have a warning. So there___ one how many ordered pairs does a destroyer take up?",low
groundtruth,16,I was showing them my way.,Okay. Where is your formula for the parallelogram?,mid
groundtruth,17,Because in every group there___ three circles.,"Okay. So, we have our four equal groups. Now, shade in the group we originally circled, like, color in the circles. Good. All right, Student S, so why is that one-fourth?",mid
groundtruth,18,Could we put it like this?,"They have to have those answers, Student J. If they don___ have that, then mark it wrong. Number 18 _ I___ sorry, 10. If we add that, the sum is what? Student J?",mid
groundtruth,19,You cut it in half.,This way or this way?,mid
groundtruth,20,Area of a parallelogram is base times height.,"Area of a, and I___ sorry, my drawings aren___ too great today. Especially that one.",low
groundtruth,21,"Oh, that___ what we___e doing.","And over here red, green.",low
groundtruth,22,4 times 2 times 3 equals blank.,Blank. That___ right. That___ your number sentence.,high
groundtruth,23,The difference between the two numbers.,The difference between the _,mid
groundtruth,24,"We need a bigger one, two of these together.","All right, turn it over. Two again. It is.",mid
groundtruth,25,If you have 15 and 3 circles.,Leave 15 here?,mid
groundtruth,26,Because they__e not equal. So take them and _,So you__e going to pretend like it__ empty space? Okay.,low
groundtruth,27,List all of the factors of 96.,Student K?,low
groundtruth,28,"Ethan gave two eighths of his collection to Ruby, so I just added one eighth to one eighth and one eighth equals two eighths.",And what were you thinking with two eighths?,high
groundtruth,29,"Length, width, and height of a box.","Correct. So don__ ask me, __ don__ get it. What are dimensions? Dimensions are the length, width, and height of your actual cube, your actual rectangular prism. What we__e going to do today is explore with boxes, okay? We__e going to explore with boxes. So what I__ going to do is let you work with a partner, and I__ going to give you three different sets of some cubes. You__e going to get your first set that looks like this. What do you think you__e going to have to do? Okay. First you__e going to have to do what? Cut it out, then you__e going to have to fold it. So I have tape at each of the tables, and you and your partner work together. There are three different cubes. Cube A, cube B, cube C. You__e going to work with a partner and cut out the patterns for the open cubes. Fold up the sides, tape them together, okay? That__ step one. After you__e done that we__e going to measure each open cube and record the findings in the chart. Guess what. I__ not giving you this chart. So what do you think you__e going to have to do?",high
groundtruth,30,How does that look like a 10?,"All right, so now we have to do our coordinates and let__ put our parentheses in. You will get to the point where you__l automatically look and say, all right, one, five, that__ R__ for the first day. But for the time being so we can make sure we don__ get our numbers mixed up, let__ go ahead and put them in the parentheses. All right, R day one.",low
groundtruth,31,I don__ remember that.,"And when we played Close to 100, which strategy did we discover? What do we try to make in the tens place? Student C.",low
groundtruth,32,I did it like that.,That__ a lot of people.,low
groundtruth,33,The angles are the same because it__ the same lines and length.,"In an equilateral triangle, all the sides are the same, all the angles are the same, but an isosceles triangle here, what if I told you that only two angles were the same and one was different? Which two angles would be the same?",high
groundtruth,34,You could also do this. Like if you have a finance like that and you know it__ big number. You could say I have five sixths apples and I ate three sixths. I wouldn__ end up with two zeroes. I would end up with two sixths.,"Exactly. And I love how Student J just said that. He made a connection. And if you were doing an exemplar, that would be a great example to show us. Make it to something real. Put the word apples in there if that__ what you__e talking. Put the word, whatever you like, candy bar, pizza, whatever it is that you picture as your whole, put it in there. Make it a story and make it make sense to you. Okay? Want to talk about different denominators, okay? I want to get back to the six eighths plus four fourths. Okay, I want to talk about that six eighths plus four fourths. Tell me a little bit about different denominators.",high
groundtruth,35,So you want us to go to number four?,"12:20, and then all of a sudden you went to 1:00. That__ not an hour. That__ 40 minute. So in order for it to be an hour you would have to go to 1:20. Okay. Erase that. That__ fine.",low
groundtruth,36,Because there__ no _ they__e all straight lines.,"Very good. Let__ zoom this in. Your first reaction might be that this is a no, but if you look closely at it, and I know the paper isn__ perfect, but all of those sides are straight. It looks like it__ curved, but when you look closely at each side, all of the sides are straight. It__ just the way they designed it, it looks like it might be a circle, but it__ really not. They have sides. It is a little bit of a trick. And they have sides and they have angles there. You really have to look closely. Okay. Very good. Let__ have somebody come up and do 4-6. Mr. D, come up. Okay. Number four.",high
groundtruth,37,"Okay, that is one and two twelfths.","Ah, look at my picture. I have my one whole with two twelfths hanging over. So my box is not even going to fit that pizza, is it? Okay, I__ gonna have to put some pieces on top. So really two thirds plus two fourths is 14 twelfths, and someone said aka one whole and how many twelfths leftover?",mid
groundtruth,38,"After you do eight, you do four, right?","What, honey?",low
groundtruth,39,16 ounces to a pound?,Right. So 16 of these _ 5 _ how many pencils would make a pound if 5 if 1 ounce?,high
groundtruth,40,I got 36 cubic centimeters.,"Number five, Student M?",low
A1,1,How many snowballs are there in all?,"Excellent. So you have 10 piles. So the piles are the groups, right?",high
A1,2,"Yeah, the 40 on top.","I like to call it a 40, right? So the 8 stayed in the ones column and the 40 went over to the_",mid
A1,3,What do you mean by explain your reasoning? Don___ you mean explain why?,"All right, explain why you came up with the answer you did, yes. But reasoning also means the why, okay? That___ another term you could use for that. Now, could you take out your math student activity books and open them to page 21 and 22.",high
A1,4,"Four fifths _ no, 80 percent.",How come you can___ put it there?,low
A1,5,"We wrote it down underneath, how long Carrie is from the park and then we subtract them.","Okay. Does this give you times two or would it be half of that- -Susan Jones_ house, 87/100 times two.",mid
A1,6,_ it says like it___ a segment that goes through the center to another edge?,Mm-hmm.,low
A1,7,I didn___ get that.,Now this is _ I___ saying this assuming that was your answer. That___ just an example.,high
A1,8,"These prices are, like, $10.00.","Oh, so it___ gonna be really challenging. But who does _ how many people does it feed?",mid
A1,9,Three-thousand-five-hundred-twenty-six yards.,"Okay. Good job. Nineteen, four yards or 13 feet. Student?",high
A1,10,"Well, I don___ know how to explain it.",Go ahead and try.,mid
A1,11,"Only in multiplication you need to see how many places there are before it, but in addition you don___ have to do that.",Only in multiplication do you need to count your places behind your decimal. In addition you just have to make sure your decimals are _,high
A1,12,You would have had like 2 wholes. It should be 56 hundredths.,"Okay, I___ sorry, I did it wrong. All right, you are right. So let___ do this one again, I___ sorry. It was 28 hundredths, I___ sorry about that, and we___e multiplying it by 2 wholes. So we still get 56, but now, well done, Student J, the decimal has to be moved over two places, one, two, and now it reads 56 hundredths. Can you show me what 56 hundredths looks like? Remember, Student T, we have to change it from five and six- tenths because I put the decimal in the wrong place, to 56 hundredths. Student T, same thing. We made an error here because I wrote the decimal wrong. Which is a good point, because it just goes to show you that depending on how many places you have behind a decimal will change your answer. Because five and six-tenths and 56 hundredths are going to give you two totally different answers. But this is the answer that we___e looking for, right here. Okay, so you can either have it like this, where you have five what?",high
A1,13,Because it___ 85 hundredths.,"It does say 85 hundredths, but what if someone didn___ know how to read that? How do we know that we___e dealing with the hundredths?",high
A1,14,Because there___ nothing on the dividend.,"Divisor. There___ not a decimal in the divisor, so I don___ have to move it over anywhere, okay. So 2 goes into 2 how many times?",high
A1,15,He as gonna spell the full name.,"It___ not exactly see how it___ like in the middle your ordered pair has to be exactly on the corner, cause look at when I go up. 10, 5 it needs to be exactly right at that spot it can___ be at the middle okay. So let___ erase that. Try it again. Put those away Student R I don___ know why I___ having so much trouble with you today following along. You have a warning. So there___ one how many ordered pairs does a destroyer take up?",low
A1,16,I was showing them my way.,Okay. Where is your formula for the parallelogram?,mid
A1,17,Because in every group there___ three circles.,"Okay. So, we have our four equal groups. Now, shade in the group we originally circled, like, color in the circles. Good. All right, Student S, so why is that one-fourth?",high
A1,18,Could we put it like this?,"They have to have those answers, Student J. If they don___ have that, then mark it wrong. Number 18 _ I___ sorry, 10. If we add that, the sum is what? Student J?",mid
A1,19,You cut it in half.,This way or this way?,high
A1,20,Area of a parallelogram is base times height.,"Area of a, and I___ sorry, my drawings aren___ too great today. Especially that one.",low
A1,21,"Oh, that___ what we___e doing.","And over here red, green.",low
A1,22,4 times 2 times 3 equals blank.,Blank. That___ right. That___ your number sentence.,high
A1,23,The difference between the two numbers.,The difference between the _,mid
A1,24,"We need a bigger one, two of these together.","All right, turn it over. Two again. It is.",mid
A1,25,If you have 15 and 3 circles.,Leave 15 here?,mid
A1,26,Because they__e not equal. So take them and _,So you__e going to pretend like it__ empty space? Okay.,low
A1,27,List all of the factors of 96.,Student K?,low
A1,28,"Ethan gave two eighths of his collection to Ruby, so I just added one eighth to one eighth and one eighth equals two eighths.",And what were you thinking with two eighths?,high
A1,29,"Length, width, and height of a box.","Correct. So don__ ask me, __ don__ get it. What are dimensions? Dimensions are the length, width, and height of your actual cube, your actual rectangular prism. What we__e going to do today is explore with boxes, okay? We__e going to explore with boxes. So what I__ going to do is let you work with a partner, and I__ going to give you three different sets of some cubes. You__e going to get your first set that looks like this. What do you think you__e going to have to do? Okay. First you__e going to have to do what? Cut it out, then you__e going to have to fold it. So I have tape at each of the tables, and you and your partner work together. There are three different cubes. Cube A, cube B, cube C. You__e going to work with a partner and cut out the patterns for the open cubes. Fold up the sides, tape them together, okay? That__ step one. After you__e done that we__e going to measure each open cube and record the findings in the chart. Guess what. I__ not giving you this chart. So what do you think you__e going to have to do?",low
A1,30,How does that look like a 10?,"All right, so now we have to do our coordinates and let__ put our parentheses in. You will get to the point where you__l automatically look and say, all right, one, five, that__ R__ for the first day. But for the time being so we can make sure we don__ get our numbers mixed up, let__ go ahead and put them in the parentheses. All right, R day one.",high
A1,31,I don__ remember that.,"And when we played Close to 100, which strategy did we discover? What do we try to make in the tens place? Student C.",low
A1,32,I did it like that.,That__ a lot of people.,low
A1,33,The angles are the same because it__ the same lines and length.,"In an equilateral triangle, all the sides are the same, all the angles are the same, but an isosceles triangle here, what if I told you that only two angles were the same and one was different? Which two angles would be the same?",high
A1,34,You could also do this. Like if you have a finance like that and you know it__ big number. You could say I have five sixths apples and I ate three sixths. I wouldn__ end up with two zeroes. I would end up with two sixths.,"Exactly. And I love how Student J just said that. He made a connection. And if you were doing an exemplar, that would be a great example to show us. Make it to something real. Put the word apples in there if that__ what you__e talking. Put the word, whatever you like, candy bar, pizza, whatever it is that you picture as your whole, put it in there. Make it a story and make it make sense to you. Okay? Want to talk about different denominators, okay? I want to get back to the six eighths plus four fourths. Okay, I want to talk about that six eighths plus four fourths. Tell me a little bit about different denominators.",high
A1,35,So you want us to go to number four?,"12:20, and then all of a sudden you went to 1:00. That__ not an hour. That__ 40 minute. So in order for it to be an hour you would have to go to 1:20. Okay. Erase that. That__ fine.",low
A1,36,Because there__ no _ they__e all straight lines.,"Very good. Let__ zoom this in. Your first reaction might be that this is a no, but if you look closely at it, and I know the paper isn__ perfect, but all of those sides are straight. It looks like it__ curved, but when you look closely at each side, all of the sides are straight. It__ just the way they designed it, it looks like it might be a circle, but it__ really not. They have sides. It is a little bit of a trick. And they have sides and they have angles there. You really have to look closely. Okay. Very good. Let__ have somebody come up and do 4-6. Mr. D, come up. Okay. Number four.",high
A1,37,"Okay, that is one and two twelfths.","Ah, look at my picture. I have my one whole with two twelfths hanging over. So my box is not even going to fit that pizza, is it? Okay, I__ gonna have to put some pieces on top. So really two thirds plus two fourths is 14 twelfths, and someone said aka one whole and how many twelfths leftover?",mid
A1,38,"After you do eight, you do four, right?","What, honey?",low
A1,39,16 ounces to a pound?,Right. So 16 of these _ 5 _ how many pencils would make a pound if 5 if 1 ounce?,high
A1,40,I got 36 cubic centimeters.,"Number five, Student M?",low
A2,1,How many snowballs are there in all?,"Excellent. So you have 10 piles. So the piles are the groups, right?",high
A2,2,"Yeah, the 40 on top.","I like to call it a 40, right? So the 8 stayed in the ones column and the 40 went over to the_",mid
A2,3,What do you mean by explain your reasoning? Don___ you mean explain why?,"All right, explain why you came up with the answer you did, yes. But reasoning also means the why, okay? That___ another term you could use for that. Now, could you take out your math student activity books and open them to page 21 and 22.",high
A2,4,"Four fifths _ no, 80 percent.",How come you can___ put it there?,low
A2,5,"We wrote it down underneath, how long Carrie is from the park and then we subtract them.","Okay. Does this give you times two or would it be half of that- -Susan Jones_ house, 87/100 times two.",high
A2,6,_ it says like it___ a segment that goes through the center to another edge?,Mm-hmm.,mid
A2,7,I didn___ get that.,Now this is _ I___ saying this assuming that was your answer. That___ just an example.,high
A2,8,"These prices are, like, $10.00.","Oh, so it___ gonna be really challenging. But who does _ how many people does it feed?",high
A2,9,Three-thousand-five-hundred-twenty-six yards.,"Okay. Good job. Nineteen, four yards or 13 feet. Student?",mid
A2,10,"Well, I don___ know how to explain it.",Go ahead and try.,mid
A2,11,"Only in multiplication you need to see how many places there are before it, but in addition you don___ have to do that.",Only in multiplication do you need to count your places behind your decimal. In addition you just have to make sure your decimals are _,high
A2,12,You would have had like 2 wholes. It should be 56 hundredths.,"Okay, I___ sorry, I did it wrong. All right, you are right. So let___ do this one again, I___ sorry. It was 28 hundredths, I___ sorry about that, and we___e multiplying it by 2 wholes. So we still get 56, but now, well done, Student J, the decimal has to be moved over two places, one, two, and now it reads 56 hundredths. Can you show me what 56 hundredths looks like? Remember, Student T, we have to change it from five and six- tenths because I put the decimal in the wrong place, to 56 hundredths. Student T, same thing. We made an error here because I wrote the decimal wrong. Which is a good point, because it just goes to show you that depending on how many places you have behind a decimal will change your answer. Because five and six-tenths and 56 hundredths are going to give you two totally different answers. But this is the answer that we___e looking for, right here. Okay, so you can either have it like this, where you have five what?",high
A2,13,Because it___ 85 hundredths.,"It does say 85 hundredths, but what if someone didn___ know how to read that? How do we know that we___e dealing with the hundredths?",high
A2,14,Because there___ nothing on the dividend.,"Divisor. There___ not a decimal in the divisor, so I don___ have to move it over anywhere, okay. So 2 goes into 2 how many times?",high
A2,15,He as gonna spell the full name.,"It___ not exactly see how it___ like in the middle your ordered pair has to be exactly on the corner, cause look at when I go up. 10, 5 it needs to be exactly right at that spot it can___ be at the middle okay. So let___ erase that. Try it again. Put those away Student R I don___ know why I___ having so much trouble with you today following along. You have a warning. So there___ one how many ordered pairs does a destroyer take up?",low
A2,16,I was showing them my way.,Okay. Where is your formula for the parallelogram?,mid
A2,17,Because in every group there___ three circles.,"Okay. So, we have our four equal groups. Now, shade in the group we originally circled, like, color in the circles. Good. All right, Student S, so why is that one-fourth?",high
A2,18,Could we put it like this?,"They have to have those answers, Student J. If they don___ have that, then mark it wrong. Number 18 _ I___ sorry, 10. If we add that, the sum is what? Student J?",mid
A2,19,You cut it in half.,This way or this way?,mid
A2,20,Area of a parallelogram is base times height.,"Area of a, and I___ sorry, my drawings aren___ too great today. Especially that one.",low
A2,21,"Oh, that___ what we___e doing.","And over here red, green.",low
A2,22,4 times 2 times 3 equals blank.,Blank. That___ right. That___ your number sentence.,high
A2,23,The difference between the two numbers.,The difference between the _,low
A2,24,"We need a bigger one, two of these together.","All right, turn it over. Two again. It is.",high
A2,25,If you have 15 and 3 circles.,Leave 15 here?,mid
A2,26,Because they__e not equal. So take them and _,So you__e going to pretend like it__ empty space? Okay.,low
A2,27,List all of the factors of 96.,Student K?,low
A2,28,"Ethan gave two eighths of his collection to Ruby, so I just added one eighth to one eighth and one eighth equals two eighths.",And what were you thinking with two eighths?,high
A2,29,"Length, width, and height of a box.","Correct. So don__ ask me, __ don__ get it. What are dimensions? Dimensions are the length, width, and height of your actual cube, your actual rectangular prism. What we__e going to do today is explore with boxes, okay? We__e going to explore with boxes. So what I__ going to do is let you work with a partner, and I__ going to give you three different sets of some cubes. You__e going to get your first set that looks like this. What do you think you__e going to have to do? Okay. First you__e going to have to do what? Cut it out, then you__e going to have to fold it. So I have tape at each of the tables, and you and your partner work together. There are three different cubes. Cube A, cube B, cube C. You__e going to work with a partner and cut out the patterns for the open cubes. Fold up the sides, tape them together, okay? That__ step one. After you__e done that we__e going to measure each open cube and record the findings in the chart. Guess what. I__ not giving you this chart. So what do you think you__e going to have to do?",low
A2,30,How does that look like a 10?,"All right, so now we have to do our coordinates and let__ put our parentheses in. You will get to the point where you__l automatically look and say, all right, one, five, that__ R__ for the first day. But for the time being so we can make sure we don__ get our numbers mixed up, let__ go ahead and put them in the parentheses. All right, R day one.",high
A2,31,I don__ remember that.,"And when we played Close to 100, which strategy did we discover? What do we try to make in the tens place? Student C.",low
A2,32,I did it like that.,That__ a lot of people.,low
A2,33,The angles are the same because it__ the same lines and length.,"In an equilateral triangle, all the sides are the same, all the angles are the same, but an isosceles triangle here, what if I told you that only two angles were the same and one was different? Which two angles would be the same?",high
A2,34,You could also do this. Like if you have a finance like that and you know it__ big number. You could say I have five sixths apples and I ate three sixths. I wouldn__ end up with two zeroes. I would end up with two sixths.,"Exactly. And I love how Student J just said that. He made a connection. And if you were doing an exemplar, that would be a great example to show us. Make it to something real. Put the word apples in there if that__ what you__e talking. Put the word, whatever you like, candy bar, pizza, whatever it is that you picture as your whole, put it in there. Make it a story and make it make sense to you. Okay? Want to talk about different denominators, okay? I want to get back to the six eighths plus four fourths. Okay, I want to talk about that six eighths plus four fourths. Tell me a little bit about different denominators.",high
A2,35,So you want us to go to number four?,"12:20, and then all of a sudden you went to 1:00. That__ not an hour. That__ 40 minute. So in order for it to be an hour you would have to go to 1:20. Okay. Erase that. That__ fine.",low
A2,36,Because there__ no _ they__e all straight lines.,"Very good. Let__ zoom this in. Your first reaction might be that this is a no, but if you look closely at it, and I know the paper isn__ perfect, but all of those sides are straight. It looks like it__ curved, but when you look closely at each side, all of the sides are straight. It__ just the way they designed it, it looks like it might be a circle, but it__ really not. They have sides. It is a little bit of a trick. And they have sides and they have angles there. You really have to look closely. Okay. Very good. Let__ have somebody come up and do 4-6. Mr. D, come up. Okay. Number four.",high
A2,37,"Okay, that is one and two twelfths.","Ah, look at my picture. I have my one whole with two twelfths hanging over. So my box is not even going to fit that pizza, is it? Okay, I__ gonna have to put some pieces on top. So really two thirds plus two fourths is 14 twelfths, and someone said aka one whole and how many twelfths leftover?",mid
A2,38,"After you do eight, you do four, right?","What, honey?",mid
A2,39,16 ounces to a pound?,Right. So 16 of these _ 5 _ how many pencils would make a pound if 5 if 1 ounce?,high
A2,40,I got 36 cubic centimeters.,"Number five, Student M?",low