"","Technique","model","category","accuracy","precision","recall"
"1","Active Prompting","GPT-3.5","overall",0.379862266668863,0.463420542635659,0.379862266668863
"2","Active Prompting","GPT-3.5","focus",0.195652173913043,0.25,0.195652173913043
"3","Active Prompting","GPT-3.5","generic",0.241379310344828,0.875,0.241379310344828
"4","Active Prompting","GPT-3.5","probing",0.428571428571429,0.333333333333333,0.428571428571429
"5","Active Prompting","GPT-3.5","telling",0.653846153846154,0.395348837209302,0.653846153846154
"6","Active Prompting","GPT-5","overall",0.412892552938601,0.43452380952381,0.412892552938601
"7","Active Prompting","GPT-5","focus",0.239130434782609,0.261904761904762,0.239130434782609
"8","Active Prompting","GPT-5","generic",0.275862068965517,0.666666666666667,0.275862068965517
"9","Active Prompting","GPT-5","probing",0.36734693877551,0.333333333333333,0.36734693877551
"10","Active Prompting","GPT-5","telling",0.769230769230769,0.476190476190476,0.769230769230769
"11","Active Prompting_APO10","GPT-3.5","overall",0.379862266668863,0.463420542635659,0.379862266668863
"12","Active Prompting_APO10","GPT-3.5","focus",0.195652173913043,0.25,0.195652173913043
"13","Active Prompting_APO10","GPT-3.5","generic",0.241379310344828,0.875,0.241379310344828
"14","Active Prompting_APO10","GPT-3.5","probing",0.428571428571429,0.333333333333333,0.428571428571429
"15","Active Prompting_APO10","GPT-3.5","telling",0.653846153846154,0.395348837209302,0.653846153846154
"16","Active Prompting_APO10","GPT-5","overall",0.412892552938601,0.43452380952381,0.412892552938601
"17","Active Prompting_APO10","GPT-5","focus",0.239130434782609,0.261904761904762,0.239130434782609
"18","Active Prompting_APO10","GPT-5","generic",0.275862068965517,0.666666666666667,0.275862068965517
"19","Active Prompting_APO10","GPT-5","probing",0.36734693877551,0.333333333333333,0.36734693877551
"20","Active Prompting_APO10","GPT-5","telling",0.769230769230769,0.476190476190476,0.769230769230769
"21","Active Prompting_APO20","GPT-3.5","overall",0.401181865895937,0.428240740740741,0.401181865895937
"22","Active Prompting_APO20","GPT-3.5","focus",0.282608695652174,0.240740740740741,0.282608695652174
"23","Active Prompting_APO20","GPT-3.5","generic",0.310344827586207,0.75,0.310344827586207
"24","Active Prompting_APO20","GPT-3.5","probing",0.204081632653061,0.333333333333333,0.204081632653061
"25","Active Prompting_APO20","GPT-3.5","telling",0.807692307692308,0.388888888888889,0.807692307692308
"26","Active Prompting_APO20","GPT-5","overall",0.422576192280626,0.448232323232323,0.422576192280626
"27","Active Prompting_APO20","GPT-5","focus",0.5,0.348484848484849,0.5
"28","Active Prompting_APO20","GPT-5","generic",0.275862068965517,0.666666666666667,0.275862068965517
"29","Active Prompting_APO20","GPT-5","probing",0.183673469387755,0.25,0.183673469387755
"30","Active Prompting_APO20","GPT-5","telling",0.730769230769231,0.527777777777778,0.730769230769231
"31","Active Prompting_APO50","GPT-3.5","overall",0.368071262641834,0.398498176700147,0.368071262641834
"32","Active Prompting_APO50","GPT-3.5","focus",0.130434782608696,0.181818181818182,0.130434782608696
"33","Active Prompting_APO50","GPT-3.5","generic",0.241379310344828,0.7,0.241379310344828
"34","Active Prompting_APO50","GPT-3.5","probing",0.408163265306122,0.344827586206897,0.408163265306122
"35","Active Prompting_APO50","GPT-3.5","telling",0.692307692307692,0.36734693877551,0.692307692307692
"36","Active Prompting_APO50","GPT-5","overall",0.395990976254416,0.431891341479438,0.395990976254416
"37","Active Prompting_APO50","GPT-5","focus",0.391304347826087,0.305084745762712,0.391304347826087
"38","Active Prompting_APO50","GPT-5","generic",0.275862068965517,0.666666666666667,0.275862068965517
"39","Active Prompting_APO50","GPT-5","probing",0.224489795918367,0.255813953488372,0.224489795918367
"40","Active Prompting_APO50","GPT-5","telling",0.692307692307692,0.5,0.692307692307692
"41","Auto-CoT","GPT-3.5","overall",0.314533961433726,0.471941896024465,0.314533961433726
"42","Auto-CoT","GPT-3.5","focus",0.760869565217391,0.321100917431193,0.760869565217391
"43","Auto-CoT","GPT-3.5","generic",0.241379310344828,0.7,0.241379310344828
"44","Auto-CoT","GPT-3.5","probing",0.102040816326531,0.2,0.102040816326531
"45","Auto-CoT","GPT-3.5","telling",0.153846153846154,0.666666666666667,0.153846153846154
"46","Auto-CoT","GPT-5","overall",0.368139517368474,0.419011470985155,0.368139517368474
"47","Auto-CoT","GPT-5","focus",0.391304347826087,0.315789473684211,0.391304347826087
"48","Auto-CoT","GPT-5","generic",0.241379310344828,0.7,0.241379310344828
"49","Auto-CoT","GPT-5","probing",0.224489795918367,0.25,0.224489795918367
"50","Auto-CoT","GPT-5","telling",0.615384615384615,0.41025641025641,0.615384615384615
"51","Auto-CoT_APO10","GPT-3.5","overall",0.314533961433726,0.471941896024465,0.314533961433726
"52","Auto-CoT_APO10","GPT-3.5","focus",0.760869565217391,0.321100917431193,0.760869565217391
"53","Auto-CoT_APO10","GPT-3.5","generic",0.241379310344828,0.7,0.241379310344828
"54","Auto-CoT_APO10","GPT-3.5","probing",0.102040816326531,0.2,0.102040816326531
"55","Auto-CoT_APO10","GPT-3.5","telling",0.153846153846154,0.666666666666667,0.153846153846154
"56","Auto-CoT_APO10","GPT-5","overall",0.368139517368474,0.419011470985155,0.368139517368474
"57","Auto-CoT_APO10","GPT-5","focus",0.391304347826087,0.315789473684211,0.391304347826087
"58","Auto-CoT_APO10","GPT-5","generic",0.241379310344828,0.7,0.241379310344828
"59","Auto-CoT_APO10","GPT-5","probing",0.224489795918367,0.25,0.224489795918367
"60","Auto-CoT_APO10","GPT-5","telling",0.615384615384615,0.41025641025641,0.615384615384615
"61","Auto-CoT_APO20","GPT-3.5","overall",0.373492511985765,0.476462526312601,0.373492511985765
"62","Auto-CoT_APO20","GPT-3.5","focus",0.652173913043478,0.326086956521739,0.652173913043478
"63","Auto-CoT_APO20","GPT-3.5","generic",0.275862068965517,0.727272727272727,0.275862068965517
"64","Auto-CoT_APO20","GPT-3.5","probing",0.142857142857143,0.241379310344828,0.142857142857143
"65","Auto-CoT_APO20","GPT-3.5","telling",0.423076923076923,0.611111111111111,0.423076923076923
"66","Auto-CoT_APO20","GPT-5","overall",0.388960739410515,0.42185107077402,0.388960739410515
"67","Auto-CoT_APO20","GPT-5","focus",0.521739130434783,0.338028169014085,0.521739130434783
"68","Auto-CoT_APO20","GPT-5","generic",0.275862068965517,0.666666666666667,0.275862068965517
"69","Auto-CoT_APO20","GPT-5","probing",0.142857142857143,0.212121212121212,0.142857142857143
"70","Auto-CoT_APO20","GPT-5","telling",0.615384615384615,0.470588235294118,0.615384615384615
"71","Auto-CoT_APO50","GPT-3.5","overall",0.313199463847354,0.4398338032983,0.313199463847354
"72","Auto-CoT_APO50","GPT-3.5","focus",0.608695652173913,0.337349397590361,0.608695652173913
"73","Auto-CoT_APO50","GPT-3.5","generic",0.206896551724138,0.75,0.206896551724138
"74","Auto-CoT_APO50","GPT-3.5","probing",0.244897959183673,0.25531914893617,0.244897959183673
"75","Auto-CoT_APO50","GPT-3.5","telling",0.192307692307692,0.416666666666667,0.192307692307692
"76","Auto-CoT_APO50","GPT-5","overall",0.408524250433653,0.432502322311767,0.408524250433653
"77","Auto-CoT_APO50","GPT-5","focus",0.543478260869565,0.352112676056338,0.543478260869565
"78","Auto-CoT_APO50","GPT-5","generic",0.275862068965517,0.666666666666667,0.275862068965517
"79","Auto-CoT_APO50","GPT-5","probing",0.122448979591837,0.181818181818182,0.122448979591837
"80","Auto-CoT_APO50","GPT-5","telling",0.692307692307692,0.529411764705882,0.692307692307692
"81","DSPy_100","GPT-3.5","overall",0.421826272891812,0.594976635514019,0.421826272891812
"82","DSPy_100","GPT-3.5","focus",0.0217391304347826,1,0.0217391304347826
"83","DSPy_100","GPT-3.5","generic",0.0344827586206897,0.5,0.0344827586206897
"84","DSPy_100","GPT-3.5","probing",0.938775510204082,0.429906542056075,0.938775510204082
"85","DSPy_100","GPT-3.5","telling",0.692307692307692,0.45,0.692307692307692
"86","DSPy_100","GPT-5","overall",0.452879819901666,0.418006822612086,0.452879819901666
"87","DSPy_100","GPT-5","focus",0.173913043478261,0.296296296296296,0.173913043478261
"88","DSPy_100","GPT-5","generic",0.344827586206897,0.555555555555556,0.344827586206897
"89","DSPy_100","GPT-5","probing",0.408163265306122,0.416666666666667,0.408163265306122
"90","DSPy_100","GPT-5","telling",0.884615384615385,0.403508771929825,0.884615384615385
"91","DSPy_200","GPT-3.5","overall",0.402668759811617,0.422619047619048,0.402668759811617
"92","DSPy_200","GPT-3.5","focus",0,NA,0
"93","DSPy_200","GPT-3.5","generic",0,NA,0
"94","DSPy_200","GPT-3.5","probing",0.918367346938776,0.416666666666667,0.918367346938776
"95","DSPy_200","GPT-3.5","telling",0.692307692307692,0.428571428571429,0.692307692307692
"96","DSPy_200","GPT-5","overall",0.544119031536037,0.504931282857971,0.544119031536037
"97","DSPy_200","GPT-5","focus",0.260869565217391,0.352941176470588,0.260869565217391
"98","DSPy_200","GPT-5","generic",0.758620689655172,0.758620689655172,0.758620689655172
"99","DSPy_200","GPT-5","probing",0.387755102040816,0.5,0.387755102040816
"100","DSPy_200","GPT-5","telling",0.769230769230769,0.408163265306122,0.769230769230769
"101","DSPy_300","GPT-3.5","overall",0.383031992637904,0.328078078078078,0.383031992637904
"102","DSPy_300","GPT-3.5","focus",0,0,0
"103","DSPy_300","GPT-3.5","generic",0.0344827586206897,0.5,0.0344827586206897
"104","DSPy_300","GPT-3.5","probing",0.959183673469388,0.423423423423423,0.959183673469388
"105","DSPy_300","GPT-3.5","telling",0.538461538461538,0.388888888888889,0.538461538461538
"106","DSPy_300","GPT-5","overall",0.544119031536037,0.504931282857971,0.544119031536037
"107","DSPy_300","GPT-5","focus",0.260869565217391,0.352941176470588,0.260869565217391
"108","DSPy_300","GPT-5","generic",0.758620689655172,0.758620689655172,0.758620689655172
"109","DSPy_300","GPT-5","probing",0.387755102040816,0.5,0.387755102040816
"110","DSPy_300","GPT-5","telling",0.769230769230769,0.408163265306122,0.769230769230769
"111","Few-shot","GPT-3.5","overall",0.456763866889161,0.472085695462977,0.456763866889161
"112","Few-shot","GPT-3.5","focus",0.173913043478261,0.222222222222222,0.173913043478261
"113","Few-shot","GPT-3.5","generic",0.448275862068966,0.764705882352941,0.448275862068966
"114","Few-shot","GPT-3.5","probing",0.551020408163265,0.46551724137931,0.551020408163265
"115","Few-shot","GPT-3.5","telling",0.653846153846154,0.435897435897436,0.653846153846154
"116","Few-shot","GPT-5","overall",0.544868362522036,0.516493055555556,0.544868362522036
"117","Few-shot","GPT-5","focus",0.478260869565217,0.34375,0.478260869565217
"118","Few-shot","GPT-5","generic",0.827586206896552,0.888888888888889,0.827586206896552
"119","Few-shot","GPT-5","probing",0.142857142857143,0.333333333333333,0.142857142857143
"120","Few-shot","GPT-5","telling",0.730769230769231,0.5,0.730769230769231
"121","Few-shot_APO10","GPT-3.5","overall",0.456763866889161,0.472085695462977,0.456763866889161
"122","Few-shot_APO10","GPT-3.5","focus",0.173913043478261,0.222222222222222,0.173913043478261
"123","Few-shot_APO10","GPT-3.5","generic",0.448275862068966,0.764705882352941,0.448275862068966
"124","Few-shot_APO10","GPT-3.5","probing",0.551020408163265,0.46551724137931,0.551020408163265
"125","Few-shot_APO10","GPT-3.5","telling",0.653846153846154,0.435897435897436,0.653846153846154
"126","Few-shot_APO10","GPT-5","overall",0.544868362522036,0.516493055555556,0.544868362522036
"127","Few-shot_APO10","GPT-5","focus",0.478260869565217,0.34375,0.478260869565217
"128","Few-shot_APO10","GPT-5","generic",0.827586206896552,0.888888888888889,0.827586206896552
"129","Few-shot_APO10","GPT-5","probing",0.142857142857143,0.333333333333333,0.142857142857143
"130","Few-shot_APO10","GPT-5","telling",0.730769230769231,0.5,0.730769230769231
"131","Few-shot_APO20","GPT-3.5","overall",0.406872603729532,0.455495000581328,0.406872603729532
"132","Few-shot_APO20","GPT-3.5","focus",0.282608695652174,0.213114754098361,0.282608695652174
"133","Few-shot_APO20","GPT-3.5","generic",0.310344827586207,0.75,0.310344827586207
"134","Few-shot_APO20","GPT-3.5","probing",0.26530612244898,0.433333333333333,0.26530612244898
"135","Few-shot_APO20","GPT-3.5","telling",0.769230769230769,0.425531914893617,0.769230769230769
"136","Few-shot_APO20","GPT-5","overall",0.554816488929789,0.522061738013231,0.554816488929789
"137","Few-shot_APO20","GPT-5","focus",0.5,0.343283582089552,0.5
"138","Few-shot_APO20","GPT-5","generic",0.827586206896552,0.857142857142857,0.827586206896552
"139","Few-shot_APO20","GPT-5","probing",0.122448979591837,0.375,0.122448979591837
"140","Few-shot_APO20","GPT-5","telling",0.769230769230769,0.512820512820513,0.769230769230769
"141","Few-shot_APO50","GPT-3.5","overall",0.469385989893593,0.484660993000304,0.469385989893593
"142","Few-shot_APO50","GPT-3.5","focus",0.217391304347826,0.24390243902439,0.217391304347826
"143","Few-shot_APO50","GPT-3.5","generic",0.482758620689655,0.823529411764706,0.482758620689655
"144","Few-shot_APO50","GPT-3.5","probing",0.408163265306122,0.454545454545455,0.408163265306122
"145","Few-shot_APO50","GPT-3.5","telling",0.769230769230769,0.416666666666667,0.769230769230769
"146","Few-shot_APO50","GPT-5","overall",0.56244248362475,0.524615940567433,0.56244248362475
"147","Few-shot_APO50","GPT-5","focus",0.5,0.343283582089552,0.5
"148","Few-shot_APO50","GPT-5","generic",0.896551724137931,0.866666666666667,0.896551724137931
"149","Few-shot_APO50","GPT-5","probing",0.122448979591837,0.375,0.122448979591837
"150","Few-shot_APO50","GPT-5","telling",0.730769230769231,0.513513513513513,0.730769230769231
"151","Self-Consistency","GPT-3.5","overall",0.418948688920846,0.476490818549642,0.418948688920846
"152","Self-Consistency","GPT-3.5","focus",0.239130434782609,0.323529411764706,0.239130434782609
"153","Self-Consistency","GPT-3.5","generic",0.344827586206897,0.714285714285714,0.344827586206897
"154","Self-Consistency","GPT-3.5","probing",0.591836734693878,0.386666666666667,0.591836734693878
"155","Self-Consistency","GPT-3.5","telling",0.5,0.481481481481481,0.5
"156","Self-Consistency","GPT-5","overall",0.411450671838335,0.435612824675325,0.411450671838335
"157","Self-Consistency","GPT-5","focus",0.478260869565217,0.34375,0.478260869565217
"158","Self-Consistency","GPT-5","generic",0.275862068965517,0.727272727272727,0.275862068965517
"159","Self-Consistency","GPT-5","probing",0.122448979591837,0.171428571428571,0.122448979591837
"160","Self-Consistency","GPT-5","telling",0.769230769230769,0.5,0.769230769230769
"161","Self-Consistency_APO10","GPT-3.5","overall",0.418948688920846,0.476490818549642,0.418948688920846
"162","Self-Consistency_APO10","GPT-3.5","focus",0.239130434782609,0.323529411764706,0.239130434782609
"163","Self-Consistency_APO10","GPT-3.5","generic",0.344827586206897,0.714285714285714,0.344827586206897
"164","Self-Consistency_APO10","GPT-3.5","probing",0.591836734693878,0.386666666666667,0.591836734693878
"165","Self-Consistency_APO10","GPT-3.5","telling",0.5,0.481481481481481,0.5
"166","Self-Consistency_APO10","GPT-5","overall",0.411450671838335,0.435612824675325,0.411450671838335
"167","Self-Consistency_APO10","GPT-5","focus",0.478260869565217,0.34375,0.478260869565217
"168","Self-Consistency_APO10","GPT-5","generic",0.275862068965517,0.727272727272727,0.275862068965517
"169","Self-Consistency_APO10","GPT-5","probing",0.122448979591837,0.171428571428571,0.122448979591837
"170","Self-Consistency_APO10","GPT-5","telling",0.769230769230769,0.5,0.769230769230769
"171","Self-Consistency_APO20","GPT-3.5","overall",0.391144890662989,0.438395276809911,0.391144890662989
"172","Self-Consistency_APO20","GPT-3.5","focus",0.369565217391304,0.26984126984127,0.369565217391304
"173","Self-Consistency_APO20","GPT-3.5","generic",0.275862068965517,0.666666666666667,0.275862068965517
"174","Self-Consistency_APO20","GPT-3.5","probing",0.26530612244898,0.317073170731707,0.26530612244898
"175","Self-Consistency_APO20","GPT-3.5","telling",0.653846153846154,0.5,0.653846153846154
"176","Self-Consistency_APO20","GPT-5","overall",0.403089467824957,0.440968487985722,0.403089467824957
"177","Self-Consistency_APO20","GPT-5","focus",0.521739130434783,0.328767123287671,0.521739130434783
"178","Self-Consistency_APO20","GPT-5","generic",0.275862068965517,0.727272727272727,0.275862068965517
"179","Self-Consistency_APO20","GPT-5","probing",0.122448979591837,0.193548387096774,0.122448979591837
"180","Self-Consistency_APO20","GPT-5","telling",0.692307692307692,0.514285714285714,0.692307692307692
"181","Self-Consistency_APO50","GPT-3.5","overall",0.419086669381165,0.464363395225464,0.419086669381165
"182","Self-Consistency_APO50","GPT-3.5","focus",0.41304347826087,0.38,0.41304347826087
"183","Self-Consistency_APO50","GPT-3.5","generic",0.275862068965517,0.615384615384615,0.275862068965517
"184","Self-Consistency_APO50","GPT-3.5","probing",0.448979591836735,0.379310344827586,0.448979591836735
"185","Self-Consistency_APO50","GPT-3.5","telling",0.538461538461538,0.482758620689655,0.538461538461538
"186","Self-Consistency_APO50","GPT-5","overall",0.405353936061796,0.423782508341332,0.405353936061796
"187","Self-Consistency_APO50","GPT-5","focus",0.478260869565217,0.323529411764706,0.478260869565217
"188","Self-Consistency_APO50","GPT-5","generic",0.310344827586207,0.692307692307692,0.310344827586207
"189","Self-Consistency_APO50","GPT-5","probing",0.102040816326531,0.151515151515152,0.102040816326531
"190","Self-Consistency_APO50","GPT-5","telling",0.730769230769231,0.527777777777778,0.730769230769231
"191","Zero-shot","GPT-3.5","overall",0.411345347734296,0.471690561529271,0.411345347734296
"192","Zero-shot","GPT-3.5","focus",0.282608695652174,0.26,0.282608695652174
"193","Zero-shot","GPT-3.5","generic",0.413793103448276,0.8,0.413793103448276
"194","Zero-shot","GPT-3.5","probing",0.448979591836735,0.407407407407407,0.448979591836735
"195","Zero-shot","GPT-3.5","telling",0.5,0.419354838709677,0.5
"196","Zero-shot","GPT-5","overall",0.506809291586546,0.495157601770505,0.506809291586546
"197","Zero-shot","GPT-5","focus",0.41304347826087,0.306451612903226,0.41304347826087
"198","Zero-shot","GPT-5","generic",0.758620689655172,0.88,0.758620689655172
"199","Zero-shot","GPT-5","probing",0.163265306122449,0.307692307692308,0.163265306122449
"200","Zero-shot","GPT-5","telling",0.692307692307692,0.486486486486487,0.692307692307692
"201","Zero-shot_APO10","GPT-3.5","overall",0.411345347734296,0.471690561529271,0.411345347734296
"202","Zero-shot_APO10","GPT-3.5","focus",0.282608695652174,0.26,0.282608695652174
"203","Zero-shot_APO10","GPT-3.5","generic",0.413793103448276,0.8,0.413793103448276
"204","Zero-shot_APO10","GPT-3.5","probing",0.448979591836735,0.407407407407407,0.448979591836735
"205","Zero-shot_APO10","GPT-3.5","telling",0.5,0.419354838709677,0.5
"206","Zero-shot_APO10","GPT-5","overall",0.506809291586546,0.495157601770505,0.506809291586546
"207","Zero-shot_APO10","GPT-5","focus",0.41304347826087,0.306451612903226,0.41304347826087
"208","Zero-shot_APO10","GPT-5","generic",0.758620689655172,0.88,0.758620689655172
"209","Zero-shot_APO10","GPT-5","probing",0.163265306122449,0.307692307692308,0.163265306122449
"210","Zero-shot_APO10","GPT-5","telling",0.692307692307692,0.486486486486487,0.692307692307692
"211","Zero-shot_APO20","GPT-3.5","overall",0.421520303427564,0.46729797979798,0.421520303427564
"212","Zero-shot_APO20","GPT-3.5","focus",0.369565217391304,0.26984126984127,0.369565217391304
"213","Zero-shot_APO20","GPT-3.5","generic",0.379310344827586,0.785714285714286,0.379310344827586
"214","Zero-shot_APO20","GPT-3.5","probing",0.244897959183673,0.363636363636364,0.244897959183673
"215","Zero-shot_APO20","GPT-3.5","telling",0.692307692307692,0.45,0.692307692307692
"216","Zero-shot_APO20","GPT-5","overall",0.508469470131496,0.491518897768898,0.508469470131496
"217","Zero-shot_APO20","GPT-5","focus",0.456521739130435,0.318181818181818,0.456521739130435
"218","Zero-shot_APO20","GPT-5","generic",0.724137931034483,0.875,0.724137931034483
"219","Zero-shot_APO20","GPT-5","probing",0.122448979591837,0.285714285714286,0.122448979591837
"220","Zero-shot_APO20","GPT-5","telling",0.730769230769231,0.487179487179487,0.730769230769231
"221","Zero-shot_APO50","GPT-3.5","overall",0.369924731511795,0.449304194056818,0.369924731511795
"222","Zero-shot_APO50","GPT-3.5","focus",0.369565217391304,0.246376811594203,0.369565217391304
"223","Zero-shot_APO50","GPT-3.5","generic",0.344827586206897,0.769230769230769,0.344827586206897
"224","Zero-shot_APO50","GPT-3.5","probing",0.26530612244898,0.333333333333333,0.26530612244898
"225","Zero-shot_APO50","GPT-3.5","telling",0.5,0.448275862068966,0.5
"226","Zero-shot_APO50","GPT-5","overall",0.520608808625515,0.490390433487448,0.520608808625515
"227","Zero-shot_APO50","GPT-5","focus",0.456521739130435,0.313432835820896,0.456521739130435
"228","Zero-shot_APO50","GPT-5","generic",0.793103448275862,0.884615384615385,0.793103448275862
"229","Zero-shot_APO50","GPT-5","probing",0.102040816326531,0.25,0.102040816326531
"230","Zero-shot_APO50","GPT-5","telling",0.730769230769231,0.513513513513513,0.730769230769231
